++++++++++++++++++++++++++++++++++++++++++
Initiating model: CUEURA1
++++++++++++++++++++++++++++++++++++++++++
+-----------------+-----+-----+-----+-----+---------+-----+-----+-----+-----+---------+-----+-----+-----+-----+---------+-----+-----+-----+-----+---------+-----+-----+-----+-----+---------+
|   Feature\Rois  | TP0 | FP0 | TN0 | FN0 | FScore0 | TP1 | FP1 | TN1 | FN1 | FScore1 | TP2 | FP2 | TN2 | FN2 | FScore2 | TP3 | FP3 | TN3 | FN3 | FScore3 | TP4 | FP4 | TN4 | FN4 | FScore4 |
|   STATISTICAL   |  84 |  2  |  8  |  24 |   0.38  |  87 |  0  |  4  |  27 |   0.23  |  92 |  0  |  0  |  26 |   0.0   |  0  |  88 |  30 |  0  |   0.41  |  93 |  0  |  4  |  21 |   0.28  |
|   STATISTICAL   |  86 |  0  |  2  |  30 |   0.12  |  0  |  87 |  31 |  0  |   0.42  |  0  |  92 |  26 |  0  |   0.36  |  88 |  0  |  0  |  30 |   0.0   |  0  |  93 |  25 |  0  |   0.35  |
|   STATISTICAL   |  71 |  15 |  24 |  8  |   0.68  |  82 |  5  |  17 |  14 |   0.64  |  91 |  1  |  12 |  14 |   0.62  |  75 |  13 |  22 |  8  |   0.68  |  80 |  13 |  17 |  8  |   0.62  |
|   STATISTICAL   |  77 |  9  |  7  |  25 |   0.29  |  4  |  83 |  30 |  1  |   0.42  |  50 |  42 |  4  |  22 |   0.11  |  86 |  2  |  0  |  30 |   0.0   |  73 |  20 |  3  |  22 |   0.12  |
|   STATISTICAL   |  85 |  1  |  5  |  27 |   0.26  |  87 |  0  |  1  |  30 |   0.06  |  17 |  75 |  13 |  13 |   0.23  |  17 |  71 |  16 |  14 |   0.27  |  75 |  18 |  10 |  15 |   0.38  |
|   STATISTICAL   |  0  |  86 |  32 |  0  |   0.43  |  87 |  0  |  1  |  30 |   0.06  |  0  |  92 |  26 |  0  |   0.36  |  5  |  83 |  22 |  8  |   0.33  |  75 |  18 |  12 |  13 |   0.44  |
|   STATISTICAL   |  0  |  86 |  32 |  0  |   0.43  |  78 |  9  |  14 |  17 |   0.52  |  55 |  37 |  11 |  15 |   0.3   |  81 |  7  |  9  |  21 |   0.39  |  78 |  15 |  10 |  15 |   0.4   |
|       SIFT      |  57 |  29 |  23 |  9  |   0.55  |  79 |  8  |  20 |  11 |   0.68  |  88 |  4  |  21 |  5  |   0.82  |  84 |  4  |  24 |  6  |   0.83  |  87 |  6  |  15 |  10 |   0.65  |
|       SIFT      |  58 |  28 |  19 |  13 |   0.48  |  75 |  12 |  14 |  17 |   0.49  |  89 |  3  |  6  |  20 |   0.34  |  78 |  10 |  20 |  10 |   0.67  |  74 |  19 |  10 |  15 |   0.37  |
|       SIFT      |  40 |  46 |  21 |  11 |   0.42  |  80 |  7  |  4  |  27 |   0.19  |  42 |  50 |  16 |  10 |   0.35  |  60 |  28 |  8  |  22 |   0.24  |  48 |  45 |  14 |  11 |   0.33  |
